id,cat3
TEST_00000,한식
TEST_00001,한식
TEST_00002,한식
TEST_00003,수련시설
TEST_00004,산
TEST_00005,한식
TEST_00006,바/까페
TEST_00007,한식
TEST_00008,유적지/사적지
TEST_00009,상설시장
TEST_00010,전시관
TEST_00011,한식
TEST_00012,자연생태관광지
TEST_00013,사찰
TEST_00014,한식
TEST_00015,일식
TEST_00016,상설시장
TEST_00017,해수욕장
TEST_00018,폭포
TEST_00019,수련시설
TEST_00020,한옥스테이
TEST_00021,해수욕장
TEST_00022,"야영장,오토캠핑장"
TEST_00023,자연생태관광지
TEST_00024,게스트하우스
TEST_00025,자연생태관광지
TEST_00026,일반축제
TEST_00027,이색거리
TEST_00028,자연생태관광지
TEST_00029,이색거리
TEST_00030,공원
TEST_00031,성
TEST_00032,"야영장,오토캠핑장"
TEST_00033,한식
TEST_00034,농.산.어촌 체험
TEST_00035,미술관/화랑
TEST_00036,다리/대교
TEST_00037,이색거리
TEST_00038,"야영장,오토캠핑장"
TEST_00039,전시관
TEST_00040,산
TEST_00041,항구/포구
TEST_00042,게스트하우스
TEST_00043,"야영장,오토캠핑장"
TEST_00044,"야영장,오토캠핑장"
TEST_00045,테마공원
TEST_00046,농.산.어촌 체험
TEST_00047,바/까페
TEST_00048,한식
TEST_00049,한식
TEST_00050,모텔
TEST_00051,한식
TEST_00052,한식
TEST_00053,이색거리
TEST_00054,펜션
TEST_00055,"야영장,오토캠핑장"
TEST_00056,상설시장
TEST_00057,바/까페
TEST_00058,기념탑/기념비/전망대
TEST_00059,유적지/사적지
TEST_00060,박물관
TEST_00061,한식
TEST_00062,한옥스테이
TEST_00063,펜션
TEST_00064,한식
TEST_00065,한식
TEST_00066,계곡
TEST_00067,유적지/사적지
TEST_00068,사찰
TEST_00069,한식
TEST_00070,전문상가
TEST_00071,스키(보드) 렌탈샵
TEST_00072,"야영장,오토캠핑장"
TEST_00073,성
TEST_00074,"야영장,오토캠핑장"
TEST_00075,바/까페
TEST_00076,공원
TEST_00077,자연생태관광지
TEST_00078,자연생태관광지
TEST_00079,"야영장,오토캠핑장"
TEST_00080,모텔
TEST_00081,고택
TEST_00082,서양식
TEST_00083,한식
TEST_00084,일반축제
TEST_00085,"야영장,오토캠핑장"
TEST_00086,이색거리
TEST_00087,바/까페
TEST_00088,농.산.어촌 체험
TEST_00089,한식
TEST_00090,공원
TEST_00091,한식
TEST_00092,한식
TEST_00093,한옥스테이
TEST_00094,서양식
TEST_00095,한식
TEST_00096,농.산.어촌 체험
TEST_00097,트래킹
TEST_00098,일반축제
TEST_00099,한식
TEST_00100,한식
TEST_00101,한식
TEST_00102,한식
TEST_00103,래프팅
TEST_00104,박물관
TEST_00105,농.산.어촌 체험
TEST_00106,사찰
TEST_00107,펜션
TEST_00108,한식
TEST_00109,중식
TEST_00110,한식
TEST_00111,바/까페
TEST_00112,강
TEST_00113,한식
TEST_00114,전시관
TEST_00115,한식
TEST_00116,기암괴석
TEST_00117,이색거리
TEST_00118,전시관
TEST_00119,온천/욕장/스파
TEST_00120,사찰
TEST_00121,"야영장,오토캠핑장"
TEST_00122,사찰
TEST_00123,한식
TEST_00124,섬
TEST_00125,박물관
TEST_00126,자동차경주
TEST_00127,한식
TEST_00128,한식
TEST_00129,한식
TEST_00130,골프
TEST_00131,유적지/사적지
TEST_00132,한옥스테이
TEST_00133,일반축제
TEST_00134,"야영장,오토캠핑장"
TEST_00135,한식
TEST_00136,이색거리
TEST_00137,해수욕장
TEST_00138,일반축제
TEST_00139,해수욕장
TEST_00140,한식
TEST_00141,바/까페
TEST_00142,한식
TEST_00143,골프
TEST_00144,모텔
TEST_00145,기념탑/기념비/전망대
TEST_00146,한식
TEST_00147,산
TEST_00148,공원
TEST_00149,테마공원
TEST_00150,박물관
TEST_00151,상설시장
TEST_00152,전시관
TEST_00153,한식
TEST_00154,농.산.어촌 체험
TEST_00155,전시관
TEST_00156,유적지/사적지
TEST_00157,한식
TEST_00158,공원
TEST_00159,서양식
TEST_00160,다리/대교
TEST_00161,중식
TEST_00162,"야영장,오토캠핑장"
TEST_00163,공원
TEST_00164,모텔
TEST_00165,일반축제
TEST_00166,바/까페
TEST_00167,섬
TEST_00168,"야영장,오토캠핑장"
TEST_00169,유적지/사적지
TEST_00170,유적지/사적지
TEST_00171,농.산.어촌 체험
TEST_00172,"야영장,오토캠핑장"
TEST_00173,한옥스테이
TEST_00174,전시관
TEST_00175,전문상가
TEST_00176,성
TEST_00177,한식
TEST_00178,한식
TEST_00179,사찰
TEST_00180,서양식
TEST_00181,기암괴석
TEST_00182,한식
TEST_00183,유명건물
TEST_00184,강
TEST_00185,한식
TEST_00186,한식
TEST_00187,사찰
TEST_00188,"야영장,오토캠핑장"
TEST_00189,일반축제
TEST_00190,사찰
TEST_00191,트래킹
TEST_00192,유적지/사적지
TEST_00193,"야영장,오토캠핑장"
TEST_00194,서양식
TEST_00195,일반축제
TEST_00196,한식
TEST_00197,"야영장,오토캠핑장"
TEST_00198,온천/욕장/스파
TEST_00199,미술관/화랑
TEST_00200,한식
TEST_00201,한식
TEST_00202,유적지/사적지
TEST_00203,바/까페
TEST_00204,"야영장,오토캠핑장"
TEST_00205,수련시설
TEST_00206,수영
TEST_00207,자연생태관광지
TEST_00208,이색거리
TEST_00209,공원
TEST_00210,이색거리
TEST_00211,박물관
TEST_00212,전문상가
TEST_00213,한식
TEST_00214,일식
TEST_00215,모텔
TEST_00216,펜션
TEST_00217,서양식
TEST_00218,일반축제
TEST_00219,기념탑/기념비/전망대
TEST_00220,한식
TEST_00221,사찰
TEST_00222,한식
TEST_00223,트래킹
TEST_00224,폭포
TEST_00225,산
TEST_00226,자연생태관광지
TEST_00227,한식
TEST_00228,서양식
TEST_00229,한식
TEST_00230,공원
TEST_00231,한식
TEST_00232,바/까페
TEST_00233,민물낚시
TEST_00234,"야영장,오토캠핑장"
TEST_00235,자연생태관광지
TEST_00236,사찰
TEST_00237,"야영장,오토캠핑장"
TEST_00238,한식
TEST_00239,산
TEST_00240,강
TEST_00241,"야영장,오토캠핑장"
TEST_00242,산
TEST_00243,테마공원
TEST_00244,모텔
TEST_00245,상설시장
TEST_00246,유적지/사적지
TEST_00247,한식
TEST_00248,모텔
TEST_00249,"야영장,오토캠핑장"
TEST_00250,"야영장,오토캠핑장"
TEST_00251,한식
TEST_00252,한식
TEST_00253,이색거리
TEST_00254,한식
TEST_00255,유원지
TEST_00256,유원지
TEST_00257,"야영장,오토캠핑장"
TEST_00258,희귀동.식물
TEST_00259,박물관
TEST_00260,한식
TEST_00261,한옥스테이
TEST_00262,모텔
TEST_00263,항구/포구
TEST_00264,공연장
TEST_00265,자연휴양림
TEST_00266,"야영장,오토캠핑장"
TEST_00267,일반축제
TEST_00268,바/까페
TEST_00269,산
TEST_00270,한식
TEST_00271,상설시장
TEST_00272,유적지/사적지
TEST_00273,유적지/사적지
TEST_00274,미술관/화랑
TEST_00275,모텔
TEST_00276,승마
TEST_00277,한식
TEST_00278,트래킹
TEST_00279,유명건물
TEST_00280,이색거리
TEST_00281,일식
TEST_00282,박물관
TEST_00283,공원
TEST_00284,폭포
TEST_00285,트래킹
TEST_00286,스키(보드) 렌탈샵
TEST_00287,박물관
TEST_00288,문화원
TEST_00289,상설시장
TEST_00290,농.산.어촌 체험
TEST_00291,관광단지
TEST_00292,한식
TEST_00293,펜션
TEST_00294,한식
TEST_00295,"야영장,오토캠핑장"
TEST_00296,일반축제
TEST_00297,미술관/화랑
TEST_00298,골프
TEST_00299,공연장
TEST_00300,박람회
TEST_00301,상설시장
TEST_00302,강
TEST_00303,한식
TEST_00304,썰매장
TEST_00305,한식
TEST_00306,트래킹
TEST_00307,미술관/화랑
TEST_00308,펜션
TEST_00309,해수욕장
TEST_00310,사찰
TEST_00311,기념탑/기념비/전망대
TEST_00312,도서관
TEST_00313,한식
TEST_00314,한식
TEST_00315,섬
TEST_00316,"야영장,오토캠핑장"
TEST_00317,수목원
TEST_00318,"야영장,오토캠핑장"
TEST_00319,한옥스테이
TEST_00320,사찰
TEST_00321,골프
TEST_00322,"야영장,오토캠핑장"
TEST_00323,문화원
TEST_00324,농.산.어촌 체험
TEST_00325,관광단지
TEST_00326,바/까페
TEST_00327,모텔
TEST_00328,한식
TEST_00329,자연휴양림
TEST_00330,농.산.어촌 체험
TEST_00331,테마공원
TEST_00332,모텔
TEST_00333,한식
TEST_00334,해수욕장
TEST_00335,한식
TEST_00336,한식
TEST_00337,"야영장,오토캠핑장"
TEST_00338,섬
TEST_00339,모텔
TEST_00340,한식
TEST_00341,성
TEST_00342,강
